,original_name,url,artist_id
shallow rising,Shallow Rising,https://open.spotify.com/artist/6PbcjTLZkr6q5QN1pFjP7n,6PbcjTLZkr6q5QN1pFjP7n
thousand frames,Thousand Frames,https://open.spotify.com/artist/1hQiBauFKkGx5m9togUnyc,1hQiBauFKkGx5m9togUnyc
terminal nation,Terminal Nation,https://open.spotify.com/artist/10jLinCe6zTTr0ZpSIsx96,10jLinCe6zTTr0ZpSIsx96
bite,Bite,https://open.spotify.com/artist/1vjaaSHq0FXHmhFFFE8LNZ,1vjaaSHq0FXHmhFFFE8LNZ
apple sauce,Apple Sauce,https://open.spotify.com/artist/00kpcbLxSOI9ALtmd5ECmD,00kpcbLxSOI9ALtmd5ECmD
funeral massacre,Funeral Massacre,https://open.spotify.com/artist/01YA5RJJO1Ws9LwIHfuqwu,01YA5RJJO1Ws9LwIHfuqwu
larval therapy,larval therapy,https://open.spotify.com/artist/7HcjufqXrBlYl8uCI1ep5X,7HcjufqXrBlYl8uCI1ep5X
backbite,Backbite,https://open.spotify.com/artist/190tXONoWX8WcoveP8RuLL,190tXONoWX8WcoveP8RuLL
disheveled convolution,Disheveled Convolution,https://open.spotify.com/artist/2bMka4KrZKGERc3Q9W3Emb,2bMka4KrZKGERc3Q9W3Emb
fentanyl,Fentanyl,https://open.spotify.com/artist/6ymyFsvAhvTJTgOqlFaiGb,6ymyFsvAhvTJTgOqlFaiGb
second wind,Second Wind,https://open.spotify.com/artist/009sQb2gmQt4P91PXgCRP3,009sQb2gmQt4P91PXgCRP3
carnophage,Carnophage,https://open.spotify.com/artist/6xlw9V9noTEe067ylMvZDe,6xlw9V9noTEe067ylMvZDe
blightfeeder,Blightfeeder,https://open.spotify.com/artist/17154CPb5q6AGb9i7XhtTK,17154CPb5q6AGb9i7XhtTK
the delirium effect,The Delirium Effect,https://open.spotify.com/artist/2j5PYmTl8wzlrYaUNLSkdY,2j5PYmTl8wzlrYaUNLSkdY
ruins of perception,Ruins of Perception,https://open.spotify.com/artist/2s5wWlq89QJWGwnpw0fLdI,2s5wWlq89QJWGwnpw0fLdI
hate within,Hate Within,https://open.spotify.com/artist/27sOHU1c3NaMHTtN5vEVMv,27sOHU1c3NaMHTtN5vEVMv
bongabonga,bongabonga,https://open.spotify.com/artist/2MyiPOWW8jtDSMvsTvOxa7,2MyiPOWW8jtDSMvsTvOxa7
starve,Starve,https://open.spotify.com/artist/1ONdGJ5AhScj7Zdw9klJFH,1ONdGJ5AhScj7Zdw9klJFH
garden of serpents,Garden Of Serpents,https://open.spotify.com/artist/4Df1zNZGDKIjtowGL6ABMV,4Df1zNZGDKIjtowGL6ABMV
our martyred lady,Our Martyred Lady,https://open.spotify.com/artist/3hQht5zRNwzv6eHftPGozr,3hQht5zRNwzv6eHftPGozr
madmans esprit,Madmans Esprit,https://open.spotify.com/artist/51oYQ3ekwc7sexxQPIP03j,51oYQ3ekwc7sexxQPIP03j
simulation defect,Simulation Defect,https://open.spotify.com/artist/4qfVotME69mQnnQC6yrnYK,4qfVotME69mQnnQC6yrnYK
sellasouls,Sellasouls,https://open.spotify.com/artist/2q1TGIlGwiovxBDVWkJtUb,2q1TGIlGwiovxBDVWkJtUb
sensory amusia,Sensory Amusia,https://open.spotify.com/artist/2qz1eX9r3clZayvz003JL2,2qz1eX9r3clZayvz003JL2
lola,LOLA,https://open.spotify.com/artist/67FB4n52MgexGQIG8s0yUH,67FB4n52MgexGQIG8s0yUH
complexant,Complexant,https://open.spotify.com/artist/66zh3ftuN85voLKArarSEF,66zh3ftuN85voLKArarSEF
